Temp_Up1_0.0-60.0C,A260nm_Up1_0.0-60.0C,Temp_Down1_60.0-0.0C,A260nm_Down1_60.0-0.0C,Temp_Up2_0.0-60.0C,A260nm_Up2_0.0-60.0C,Temp_Down2_60.0-0.0C,A260nm_Down2_60.0-0.0C
Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs,Temperature (C),Abs
14.10000038,0.17287744,45.90000153,0.206956905,14.30000019,0.171445571,45.70000076,0.207926464
14.19999981,0.172925638,45.79999924,0.206903449,14.39999962,0.171479103,45.59999847,0.207879479
14.30000019,0.172993758,45.70000076,0.206852834,14.5,0.171519772,45.5,0.207796277
14.39999962,0.173002969,45.59999847,0.206837374,14.60000038,0.17157046,45.40000153,0.207861825
14.5,0.173005174,45.5,0.206814872,14.69999981,0.17160402,45.29999924,0.207809971
14.60000038,0.173024915,45.40000153,0.206835989,14.80000019,0.171627524,45.20000076,0.20786068
14.69999981,0.173048999,45.29999924,0.206773163,14.89999962,0.171692531,45.09999847,0.20770656
14.80000019,0.173091172,45.20000076,0.206723487,15,0.171746464,45,0.207732589
14.89999962,0.173234935,45.09999847,0.206724481,15.10000038,0.171784911,44.90000153,0.207714147
15,0.17336645,45,0.206708293,15.19999981,0.171870123,44.79999924,0.207701371
15.10000038,0.173504246,44.90000153,0.206687679,15.30000019,0.171935123,44.70000076,0.207667696
15.19999981,0.173610085,44.79999924,0.206642403,15.39999962,0.171948879,44.59999847,0.207630852
15.30000019,0.173641773,44.70000076,0.206592042,15.5,0.171979428,44.5,0.207582694
15.39999962,0.173602477,44.59999847,0.206584593,15.60000038,0.172025554,44.40000153,0.207571892
15.5,0.173639425,44.5,0.206597578,15.69999981,0.172089997,44.29999924,0.207561089
15.60000038,0.173656894,44.40000153,0.20653716,15.80000019,0.172194293,44.20000076,0.207540133
15.69999981,0.173672692,44.29999924,0.206505934,15.89999962,0.172263644,44.09999847,0.207575091
15.80000019,0.173665806,44.20000076,0.206575653,16,0.172320569,44,0.207479895
15.89999962,0.173702307,44.09999847,0.206567806,16.10000038,0.172391519,43.90000153,0.207518158
16,0.173723502,44,0.20648242,16.20000076,0.172478317,43.79999924,0.20748086
16.10000038,0.173742391,43.90000153,0.206430307,16.29999924,0.172538807,43.70000076,0.207415693
16.20000076,0.173755707,43.79999924,0.206452633,16.39999962,0.172509698,43.59999847,0.207366218
16.29999924,0.173797254,43.70000076,0.206415424,16.5,0.172634043,43.5,0.207388348
16.39999962,0.173800175,43.59999847,0.206369798,16.60000038,0.172684219,43.40000153,0.207386386
16.5,0.173784173,43.5,0.206365776,16.70000076,0.172771618,43.29999924,0.207359293
16.60000038,0.173755531,43.40000153,0.206358596,16.79999924,0.17285615,43.20000076,0.207330689
16.70000076,0.173743037,43.29999924,0.206434286,16.89999962,0.172884407,43.09999847,0.207267028
16.79999924,0.173763877,43.20000076,0.206397414,17,0.17298167,43,0.207259103
16.89999962,0.173767418,43.09999847,0.206343378,17.10000038,0.173069971,42.90000153,0.20721934
17,0.173783161,43,0.206288407,17.20000076,0.173131351,42.79999924,0.207197075
17.10000038,0.17380876,42.90000153,0.206136253,17.29999924,0.173197686,42.70000076,0.207151633
17.20000076,0.173827922,42.79999924,0.206146149,17.39999962,0.173284734,42.59999847,0.2071618
17.29999924,0.173788808,42.70000076,0.206196568,17.5,0.173381246,42.5,0.207156539
17.39999962,0.17375649,42.59999847,0.206170572,17.60000038,0.173428739,42.40000153,0.2070869
17.5,0.173755695,42.5,0.20614884,17.70000076,0.173493764,42.29999924,0.207058919
17.60000038,0.173737038,42.40000153,0.20615628,17.79999924,0.173590876,42.20000076,0.207071608
17.70000076,0.173745044,42.29999924,0.20612654,17.89999962,0.173665106,42.09999847,0.207049959
17.79999924,0.173763925,42.20000076,0.206052181,18,0.173759351,42,0.207070522
17.89999962,0.173769598,42.09999847,0.206021324,18.10000038,0.173847066,41.90000153,0.206989008
18,0.173771246,42,0.20598783,18.20000076,0.173928744,41.79999924,0.206943727
18.10000038,0.173757118,41.90000153,0.206004955,18.29999924,0.174037329,41.70000076,0.206892584
18.20000076,0.173744935,41.79999924,0.205982908,18.39999962,0.17415385,41.59999847,0.206828936
18.29999924,0.173767256,41.70000076,0.20591611,18.5,0.174202445,41.5,0.206942939
18.39999962,0.173834175,41.59999847,0.205863696,18.60000038,0.174263938,41.40000153,0.206933448
18.5,0.17391408,41.5,0.205818052,18.70000076,0.174334528,41.29999924,0.206843829
18.60000038,0.17401276,41.40000153,0.205784648,18.79999924,0.174422495,41.20000076,0.206767381
18.70000076,0.17406781,41.29999924,0.205782379,18.89999962,0.17455379,41.09999847,0.206824805
18.79999924,0.174098099,41.20000076,0.205783185,19,0.174643163,41,0.206785839
18.89999962,0.174137805,41.09999847,0.205802223,19.10000038,0.174723555,40.90000153,0.206733109
19,0.174111602,41,0.205777325,19.20000076,0.174847625,40.79999924,0.206669185
19.10000038,0.17415642,40.90000153,0.205725227,19.29999924,0.174933904,40.70000076,0.206676933
19.20000076,0.17421774,40.79999924,0.205731075,19.39999962,0.175068626,40.59999847,0.206646905
19.29999924,0.174259202,40.70000076,0.20570897,19.5,0.175086412,40.5,0.206603282
19.39999962,0.174304794,40.59999847,0.205636536,19.60000038,0.175237226,40.40000153,0.206583841
19.5,0.174470715,40.5,0.205610922,19.70000076,0.17541891,40.29999924,0.206496753
19.60000038,0.174534403,40.40000153,0.205585764,19.79999924,0.175497611,40.20000076,0.206542258
19.70000076,0.174586947,40.29999924,0.205533535,19.89999962,0.175603918,40.09999847,0.206428347
19.79999924,0.174599231,40.20000076,0.205503201,20,0.175669202,40,0.206414371
19.89999962,0.174659581,40.09999847,0.20544046,20.10000038,0.175769054,39.90000153,0.20640468
20,0.17471768,40,0.205445495,20.20000076,0.175915071,39.79999924,0.206388619
20.10000038,0.174811141,39.90000153,0.205459321,20.29999924,0.175983105,39.70000076,0.206337132
20.20000076,0.174913935,39.79999924,0.205378463,20.39999962,0.17607973,39.59999847,0.206363272
20.29999924,0.174956725,39.70000076,0.205364751,20.5,0.17623273,39.5,0.206254927
20.39999962,0.175008598,39.59999847,0.205362707,20.60000038,0.176385423,39.40000153,0.206238052
20.5,0.175119526,39.5,0.205251368,20.70000076,0.176481079,39.29999924,0.206254152
20.60000038,0.175268898,39.40000153,0.205186596,20.79999924,0.176621745,39.20000076,0.206172599
20.70000076,0.175446909,39.29999924,0.205116616,20.89999962,0.176781842,39.09999847,0.206162568
20.79999924,0.175418835,39.20000076,0.205059728,21,0.176831709,39,0.20613125
20.89999962,0.175402588,39.09999847,0.205102304,21.10000038,0.17704581,38.90000153,0.2060765
21,0.175474494,39,0.205074766,21.20000076,0.177128245,38.79999924,0.205997804
21.10000038,0.175477285,38.90000153,0.204987487,21.29999924,0.177260283,38.70000076,0.205954834
21.20000076,0.175529638,38.79999924,0.205010764,21.39999962,0.177428849,38.59999847,0.205888382
21.29999924,0.175564015,38.70000076,0.204989225,21.5,0.177583864,38.5,0.205862062
21.39999962,0.175659359,38.59999847,0.204965297,21.60000038,0.177654462,38.40000153,0.205824056
21.5,0.175736497,38.5,0.204900012,21.70000076,0.177770006,38.29999924,0.205781635
21.60000038,0.175755455,38.40000153,0.204836997,21.79999924,0.177896012,38.20000076,0.205753641
21.70000076,0.175795471,38.29999924,0.204784605,21.89999962,0.178015346,38.09999847,0.205727308
21.79999924,0.175968958,38.20000076,0.204764421,22,0.178096395,38,0.205653131
21.89999962,0.176154355,38.09999847,0.204745943,22.10000038,0.178171971,37.90000153,0.205578928
22,0.176432556,38,0.204717959,22.20000076,0.178268162,37.79999924,0.205529699
22.10000038,0.176577949,37.90000153,0.204551194,22.29999924,0.178388939,37.70000076,0.205473481
22.20000076,0.176664592,37.79999924,0.204519733,22.39999962,0.178525345,37.59999847,0.205408218
22.29999924,0.176780147,37.70000076,0.204484725,22.5,0.178673546,37.5,0.205368113
22.39999962,0.176896019,37.59999847,0.204512633,22.60000038,0.178799048,37.40000153,0.205355111
22.5,0.176919792,37.5,0.20450335,22.70000076,0.178964504,37.29999924,0.205277847
22.60000038,0.177183226,37.40000153,0.204430129,22.79999924,0.179085865,37.20000076,0.205216135
22.70000076,0.17720979,37.29999924,0.204333443,22.89999962,0.179176916,37.09999847,0.205175462
22.79999924,0.177203398,37.20000076,0.204238952,23,0.179363774,37,0.205179343
22.89999962,0.177437546,37.09999847,0.20423181,23.10000038,0.179530148,36.90000153,0.205076829
23,0.177628644,37,0.204118162,23.20000076,0.179734869,36.79999924,0.205057069
23.10000038,0.177710434,36.90000153,0.204040129,23.29999924,0.179898936,36.70000076,0.205029285
23.20000076,0.177806172,36.79999924,0.203966353,23.39999962,0.180018808,36.59999847,0.204914858
23.29999924,0.17795512,36.70000076,0.203947744,23.5,0.180105735,36.5,0.204923775
23.39999962,0.178099193,36.59999847,0.203926211,23.60000038,0.180263956,36.40000153,0.204881204
23.5,0.17823058,36.5,0.203862632,23.70000076,0.180409956,36.29999924,0.204835061
23.60000038,0.178267749,36.40000153,0.203793484,23.79999924,0.180562641,36.20000076,0.204716144
23.70000076,0.178410166,36.29999924,0.203758363,23.89999962,0.180750262,36.09999847,0.204645569
23.79999924,0.178489295,36.20000076,0.203701569,24,0.180899685,36,0.204575254
23.89999962,0.178500663,36.09999847,0.203600771,24.10000038,0.181106837,35.90000153,0.204482846
24,0.17855071,36,0.203497303,24.20000076,0.181237509,35.79999924,0.204448279
24.10000038,0.178634453,35.90000153,0.203413398,24.29999924,0.181397415,35.70000076,0.204410115
24.20000076,0.178809547,35.79999924,0.203360942,24.39999962,0.181558308,35.59999847,0.204265728
24.29999924,0.179017484,35.70000076,0.203307143,24.5,0.181785958,35.5,0.204241809
24.39999962,0.17912809,35.59999847,0.203253371,24.60000038,0.181941292,35.40000153,0.204163569
24.5,0.179225534,35.5,0.203210732,24.70000076,0.182252492,35.29999924,0.204077039
24.60000038,0.179305899,35.40000153,0.203145536,24.79999924,0.182482673,35.20000076,0.204030453
24.70000076,0.17936818,35.29999924,0.203100676,24.89999962,0.182627791,35.09999847,0.20396831
24.79999924,0.179409274,35.20000076,0.203052393,25,0.182852077,35,0.203865831
24.89999962,0.179399021,35.09999847,0.202960898,25.10000038,0.183085194,34.90000153,0.203761719
25,0.179470489,35,0.202877497,25.20000076,0.18318276,34.79999924,0.203713106
25.10000038,0.179617262,34.90000153,0.202837619,25.29999924,0.183418966,34.70000076,0.203612147
25.20000076,0.179792293,34.79999924,0.202784504,25.39999962,0.183673692,34.59999847,0.203561561
25.29999924,0.17995342,34.70000076,0.202685769,25.5,0.183891193,34.5,0.203424517
25.39999962,0.180146692,34.59999847,0.202552499,25.60000038,0.184041538,34.40000153,0.203309048
25.5,0.180333312,34.5,0.202418736,25.70000076,0.184221954,34.29999924,0.2032486
25.60000038,0.180526608,34.40000153,0.202377018,25.79999924,0.184448668,34.20000076,0.203206503
25.70000076,0.180552933,34.29999924,0.202325132,25.89999962,0.184692606,34.09999847,0.203106561
25.79999924,0.180622762,34.20000076,0.202256039,26,0.184863878,34,0.203018303
25.89999962,0.18077765,34.09999847,0.202102659,26.10000038,0.185080745,33.90000153,0.202871389
26,0.180955232,34,0.202003206,26.20000076,0.185271638,33.79999924,0.202729672
26.10000038,0.18107379,33.90000153,0.201940165,26.29999924,0.185509119,33.70000076,0.202640741
26.20000076,0.18118202,33.79999924,0.201879938,26.39999962,0.185702627,33.59999847,0.202555339
26.29999924,0.181320807,33.70000076,0.201730443,26.5,0.18595627,33.5,0.202442647
26.39999962,0.181393968,33.59999847,0.201575827,26.60000038,0.186114242,33.40000153,0.202380169
26.5,0.181464825,33.5,0.201456088,26.70000076,0.186405181,33.29999924,0.202256774
26.60000038,0.181625686,33.40000153,0.201425365,26.79999924,0.186638932,33.20000076,0.202202378
26.70000076,0.181751375,33.29999924,0.20138161,26.89999962,0.186902468,33.09999847,0.202115163
26.79999924,0.181846222,33.20000076,0.201262741,27,0.187063845,33,0.201909586
26.89999962,0.182159703,33.09999847,0.201150305,27.10000038,0.187293226,32.90000153,0.201777401
27,0.182316348,33,0.201036823,27.20000076,0.187530839,32.79999924,0.20169101
27.10000038,0.182326454,32.90000153,0.200865394,27.29999924,0.187766258,32.70000076,0.201539371
27.20000076,0.182426877,32.79999924,0.200756112,27.39999962,0.188044417,32.59999847,0.201422678
27.29999924,0.182641347,32.70000076,0.200613951,27.5,0.188259165,32.5,0.201352142
27.39999962,0.182732555,32.59999847,0.200491252,27.60000038,0.188444144,32.40000153,0.201241689
27.5,0.183010341,32.5,0.200346776,27.70000076,0.188745348,32.29999924,0.201083215
27.60000038,0.183283196,32.40000153,0.200264156,27.79999924,0.189023745,32.20000076,0.200895444
27.70000076,0.183368565,32.29999924,0.200116098,27.89999962,0.189129131,32.09999847,0.200781433
27.79999924,0.183540321,32.20000076,0.200010556,28,0.18936146,32,0.200659287
27.89999962,0.183669919,32.09999847,0.199902391,28.10000038,0.189604873,31.89999962,0.200475056
28,0.183871395,32,0.199762116,28.20000076,0.189803869,31.79999924,0.200360063
28.10000038,0.184185687,31.89999962,0.19956127,28.29999924,0.190036163,31.70000076,0.200268099
28.20000076,0.18428512,31.79999924,0.199462585,28.39999962,0.190225043,31.60000038,0.200114148
28.29999924,0.184406977,31.70000076,0.199354043,28.5,0.190405551,31.5,0.199980844
28.39999962,0.184567404,31.60000038,0.199172856,28.60000038,0.190702859,31.39999962,0.199826612
28.5,0.184912392,31.5,0.198940444,28.70000076,0.19100479,31.29999924,0.199695003
28.60000038,0.185137228,31.39999962,0.198814597,28.79999924,0.191212275,31.20000076,0.199512075
28.70000076,0.185235094,31.29999924,0.198677084,28.89999962,0.191485774,31.10000038,0.199286678
28.79999924,0.185390277,31.20000076,0.198519341,29,0.191639488,31,0.199164674
28.89999962,0.1855583,31.10000038,0.19832937,29.10000038,0.191870262,30.89999962,0.199047539
